Track Album Name,Track Name,Artist Name,Track Popularity,Date Added
american dream,pop ur shit,21 Savage,83,2024-01-18 19:39:13+00:00
american dream,all of me,21 Savage,85,2024-01-18 19:39:11+00:00
american dream,american dream,21 Savage,80,2024-01-18 19:39:09+00:00
"Bütüneserleri, Vol. 4 (Nazim Türküsü)",Karlı Kayın Ormanı,Zülfü Livaneli,46,2024-01-15 14:14:49+00:00
american dream,redrum,21 Savage,88,2024-01-14 14:01:09+00:00
Rapstar,Neyim Var Ki (feat. Sagopa K),Ceza,71,2024-01-14 13:47:54+00:00
Ayrılık Zamansız Gelir,Bir Sevmek Bin Defa Ölmek Demekmiş,Barış Akarsu,64,2024-01-13 18:01:06+00:00
En İyileriyle Esmeray,Unutama Beni,Esmeray,67,2024-01-13 17:24:11+00:00
Hosçakalin Gözüm,Siz Yanmayın (Sürgün),Ahmet Kaya,51,2024-01-10 18:19:45+00:00
Resitaller 2,Hadi Sen Git İşine,Ahmet Kaya,50,2024-01-10 18:12:24+00:00
Başım Belada,Başım Belada,Ahmet Kaya,57,2024-01-10 18:09:11+00:00
Ağlama Bebeğim,Kara Yazı,Ahmet Kaya,53,2024-01-10 18:03:57+00:00
Na-Mükemmel,Dermanın Olayım,Ahmet Aslan,50,2024-01-10 07:21:48+00:00
Yorgun Demokrat,Yorgun Demokrat,Ahmet Kaya,56,2024-01-10 07:16:27+00:00
Şu Dağlarda Kar Olsaydım,Şu Dağlarda Kar Olsaydım,Ahmet Aslan,48,2024-01-10 07:11:10+00:00
Dokunma Yanarsın,İçimde Ölen Biri,Ahmet Kaya,58,2024-01-10 05:16:16+00:00
Na-Mükemmel,Şu Kanlı Zalimin Ettiği İşler,Ahmet Aslan,51,2024-01-10 05:11:57+00:00
Ah Istanbul,Bir Ay Doğar,Cengiz Özkan,58,2024-01-10 05:10:37+00:00
Meleklerin Dansı,Minnet Eylemem,Ahmet Aslan,55,2024-01-10 05:06:14+00:00
Başkaldırıyorum,Herkes Kendi İşine,Ahmet Kaya,59,2024-01-10 04:59:53+00:00
Uzun İnce Bir Yoldayım (Klasikler),Uzun İnce Bir Yoldayım,Aşık Veysel,50,2024-01-10 04:56:40+00:00
Bindik Bir Alamete,Kerkük Zindanı,Cem Karaca,56,2024-01-10 04:49:22+00:00
"Bütüneserleri, Vol. 9 (Güneş Topla Benim İçin)",Güneş Topla Benim İçin,Zülfü Livaneli,47,2024-01-10 04:43:09+00:00
350,350,Lil Baby,64,2023-12-16 22:23:22+00:00
