Track Album Name,Track Name,Artist Name,Track Popularity,Date Added
lovely (with Khalid),lovely (with Khalid),Billie Eilish,91,2020-12-12 21:28:27+00:00
Word To LA,War Scars,Booka600,25,2020-12-12 21:28:26+00:00
Rich And Blind,Rich And Blind,Juice WRLD,65,2020-12-12 21:28:26+00:00
Love Songs 4 The Streets 2,Bora Bora,Lil Durk,60,2020-12-12 21:28:25+00:00
All The Little Lights,Let Her Go,Passenger,76,2020-12-12 21:28:25+00:00
Cradles,Cradles,Sub Urban,77,2020-12-12 21:28:24+00:00
Come Over When You're Sober (Part One),Save That Shit,Lil Peep,79,2020-12-12 21:28:24+00:00
Culture II,Walk It Talk It,Migos,78,2020-12-12 21:28:23+00:00
Skateboard P (feat. Big Sean),Skateboard P (feat. Big Sean),MadeinTYO,54,2020-12-12 21:28:22+00:00
Savage Mode,Savage Mode,21 Savage,58,2020-12-12 21:28:22+00:00
Cocky (feat. London On Da Track),Cocky (feat. London On Da Track),A$AP Rocky,51,2020-12-12 21:28:21+00:00
The Bigger Artist,Undefeated (feat. 21 Savage),A Boogie Wit da Hoodie,51,2020-12-12 21:28:21+00:00
Culture II,BBO (Bad Bitches Only),Migos,62,2020-12-12 21:28:20+00:00
NOT ALL HEROES WEAR CAPES (Deluxe),10 Freaky Girls (with 21 Savage),Metro Boomin,81,2020-12-12 16:33:43+00:00
Sneakin’,Sneakin’,Drake,67,2020-12-12 16:33:43+00:00
iSpy (feat. Lil Yachty),iSpy (feat. Lil Yachty),KYLE,73,2020-12-12 16:33:42+00:00
Harder Than Ever,Yes Indeed,Lil Baby,84,2020-12-12 16:33:42+00:00
Camelot,Camelot,NLE Choppa,66,2020-12-12 16:33:40+00:00
Fearless,Blackout,Josh A,46,2020-12-12 16:33:39+00:00
Bandit (with YoungBoy Never Broke Again),Bandit (with YoungBoy Never Broke Again),Juice WRLD,73,2020-12-12 16:33:39+00:00
On the Inside (feat. 21 Savage),On the Inside (feat. 21 Savage),Godfather of Harlem,44,2020-12-12 16:33:38+00:00
A Love Letter To You 4,6 Kiss (feat. Juice WRLD & YNW Melly),Trippie Redd,66,2020-12-12 16:33:38+00:00
Tip Toe (feat. A Boogie Wit da Hoodie),Tip Toe (feat. A Boogie Wit da Hoodie),Roddy Ricch,47,2020-12-12 16:33:37+00:00
Woah,Woah,Lil Baby,65,2020-12-12 16:33:36+00:00
Rodeo,Antidote,Travis Scott,77,2020-12-12 16:33:32+00:00
The Kids Are Coming,Dance Monkey,Tones And I,72,2020-12-12 16:33:32+00:00
UP THE SMOKE (with Offset),UP THE SMOKE (with Offset),Stunna 4 Vegas,56,2020-12-12 16:33:31+00:00
All The Way Up (feat. Infared),All The Way Up (feat. Infared),Fat Joe,64,2020-12-12 16:33:31+00:00
Drip Harder,"Never Recover (Lil Baby & Gunna, Drake)",Lil Baby,74,2020-12-12 16:33:30+00:00
Start Wit Me (feat. Gunna),Start Wit Me (feat. Gunna),Roddy Ricch,49,2020-12-12 16:08:41+00:00
The Return of East Atlanta Santa,Both (feat. Drake),Gucci Mane,70,2020-12-12 16:08:40+00:00
Top Boy (A Selection of Music Inspired by the Series),100 Thoughts,Various Artists,48,2020-12-12 16:08:40+00:00
Culture,Slippery (feat. Gucci Mane),Migos,71,2020-12-12 16:08:40+00:00
Goddamn (feat. A Boogie wit da Hoodie),Goddamn (feat. A Boogie wit da Hoodie),Tyga,54,2020-12-12 16:08:39+00:00
Legendary (Deluxe Edition),SWISH,Tyga,61,2020-12-12 16:08:39+00:00
So Much Fun,Bad Bad Bad (feat. Lil Baby),Young Thug,70,2020-12-12 16:08:39+00:00
Silver Side Up,How You Remind Me,Nickelback,85,2020-12-12 16:08:38+00:00
Baby,Baby,Quality Control,61,2020-12-12 16:08:38+00:00
QUAVO HUNCHO,FLIP THE SWITCH (feat. Drake),Quavo,66,2020-12-12 16:08:37+00:00
HIGHEST IN THE ROOM,HIGHEST IN THE ROOM,Travis Scott,86,2020-12-12 16:08:37+00:00
My Blood And A Few Others From Trench,Nico and the Niners,Twenty One Pilots,67,2020-12-12 16:08:36+00:00
Culture,Bad and Boujee (feat. Lil Uzi Vert),Migos,76,2020-12-12 16:08:36+00:00
Undefeated (feat. Lil Keed),Undefeated (feat. Lil Keed),Future,48,2020-12-12 16:08:36+00:00
i am > i was,can't leave without it,21 Savage,77,2020-12-12 16:08:35+00:00
Hollywood's Bleeding,Goodbyes (feat. Young Thug),Post Malone,81,2020-12-12 16:08:35+00:00
racine carrée,Tous les mêmes,Stromae,74,2020-12-12 16:08:35+00:00
ATLAS,Higher,The Score,60,2020-12-12 16:08:34+00:00
Fight With Tools,Handlebars,Flobots,63,2020-12-12 16:08:34+00:00
QUAVO HUNCHO,PASS OUT (feat. 21 Savage),Quavo,51,2020-12-12 16:08:33+00:00
Baby On Baby,Baby Sitter (feat. Offset),DaBaby,62,2020-12-12 16:08:33+00:00
Off Deez (with J. Cole),Off Deez (with J. Cole),JID,65,2020-12-12 16:08:33+00:00
Rover 2.0 (feat. 21 Savage),Rover 2.0 (feat. 21 Savage),BlocBoy JB,49,2020-12-12 16:08:31+00:00
KIRK,VIBEZ,DaBaby,70,2020-12-12 16:08:30+00:00
KIRK,iPHONE (with Nicki Minaj),DaBaby,51,2020-12-12 16:08:29+00:00
Graduation,Stronger,Kanye West,85,2020-12-12 16:08:28+00:00
Expectations,Expectations,Brika,32,2020-12-12 16:08:27+00:00
Top Boy (A Selection of Music Inspired by the Series),Behind Barz - Bonus,Various Artists,67,2020-12-12 16:08:27+00:00
Savage Mode,Ocean Drive,21 Savage,59,2020-12-12 16:08:26+00:00
Revenge Of The Dreamers III,"Costa Rica (with Bas & JID feat. Guapdad 4000, Reese LAFLARE, Jace, Mez, Smokepurpp, Buddy & Ski Mask The Slump God)",Dreamville,68,2020-12-12 16:08:26+00:00
Soul Searching,Focus (feat. 21 Savage),Bazzi,62,2020-12-12 16:08:25+00:00
Hozier,Take Me To Church,Hozier,87,2020-12-12 16:08:25+00:00
Lalala,Lalala,Y2K,75,2020-12-12 16:08:25+00:00
Love Songs 4 The Streets 2,Die Slow (feat. 21 Savage),Lil Durk,53,2020-12-12 16:08:23+00:00
7 EP,Rodeo,Lil Nas X,66,2020-12-12 16:08:22+00:00
The Best In The World Pack,Money In The Grave (Drake ft. Rick Ross),Drake,79,2020-12-12 16:08:22+00:00
Panini,Panini,Lil Nas X,72,2020-12-12 16:08:22+00:00
Maria,Maria,grandson,43,2020-12-12 16:08:21+00:00
Got Your Six,Jekyll and Hyde,Five Finger Death Punch,68,2020-12-12 16:08:21+00:00
